rank_index,appid,name,content_descriptors
1,5,Dedicated Server,
2,7,Steam Client,
3,8,winui2,
4,10,Counter-Strike,"{'ids': [2, 5], 'notes': 'Includes intense violence and blood.'}"
5,20,Team Fortress Classic,"{'ids': [2, 5], 'notes': 'Includes intense violence and blood.'}"
6,30,Day of Defeat,"{'ids': [2, 5], 'notes': 'This game includes frequent acts of violence'}"
7,40,Deathmatch Classic,"{'ids': [], 'notes': None}"
8,50,Half-Life: Opposing Force,"{'ids': [2, 5], 'notes': 'Half-Life: Opposing Force includes violence throughout the game.'}"
9,60,Ricochet,"{'ids': [], 'notes': None}"
10,70,Half-Life,"{'ids': [2, 5], 'notes': 'Half-Life includes some weapons-based violence throughout the game.'}"
11,80,Counter-Strike: Condition Zero,"{'ids': [2, 5], 'notes': 'This game includes frequent acts of violence.'}"
12,90,Half-Life Dedicated Server,
13,92,Codename Gordon,"{'ids': [], 'notes': None}"
14,100,Counter-Strike: Condition Zero Deleted Scenes,"{'ids': [2, 5], 'notes': 'This game includes frequent acts of violence.'}"
15,130,Half-Life: Blue Shift,"{'ids': [2, 5], 'notes': 'Half-Life: Blue Shift includes violence throughout the game.'}"
16,150,Counter-Strike Steamworks Beta,"{'ids': [], 'notes': None}"
17,205,Source Dedicated Server,
18,210,Source Dedicated Server,
19,211,Source SDK,
20,215,Source SDK Base 2006,
21,218,Source SDK Base 2007,
22,219,Half-Life 2: Demo,"{'ids': [], 'notes': None}"
23,220,Half-Life 2,"{'ids': [2, 5], 'notes': 'Half-Life 2 includes violence throughout the game.'}"
24,240,Counter-Strike: Source,"{'ids': [2, 5], 'notes': 'Includes intense violence and blood.'}"
25,260,Counter-Strike: Source Beta,
26,280,Half-Life: Source,"{'ids': [], 'notes': None}"
27,300,Day of Defeat: Source,"{'ids': [2, 5], 'notes': 'This game includes frequent violence.'}"
28,304,Day of Defeat: Source Press Review,
29,310,Source 2007 Dedicated Server,
30,320,Half-Life 2: Deathmatch,"{'ids': [2, 5], 'notes': 'Half-Life 2: Deathmatch includes weapons-based villence throughout the game.'}"
31,340,Half-Life 2: Lost Coast,"{'ids': [], 'notes': 'Half-Life 2: Lost Coast includes violence throughout the game.'}"
32,360,Half-Life Deathmatch: Source,"{'ids': [2, 5], 'notes': 'Half-Life Deathmatch: Source includes violence throughout the game.'}"
33,364,HL1:MP Linux client,
34,380,Half-Life 2: Episode One,"{'ids': [], 'notes': 'Half-Life 2: Episode One includes violence throughout the game.'}"
35,400,Portal,"{'ids': [], 'notes': None}"
36,410,Portal: First Slice,"{'ids': [], 'notes': None}"
37,420,Half-Life 2: Episode Two,"{'ids': [], 'notes': 'Half-Life 2: Episode Two includes violence throughout the game.'}"
38,440,Team Fortress 2,"{'ids': [], 'notes': None}"
39,456,Team Fortress 2 - Summer 2012 Community Bundle DLC,
40,457,Team Fortress 2 - Summer 2012 Sale Bundle DLC,
41,458,Team Fortress 2 - Summer 2011 DLC,
42,459,Team Fortress 2 - Premium DLC,
43,480,Spacewar,
44,500,Left 4 Dead,"{'ids': [2, 5], 'notes': 'Includes realistic violence, blood and gore involving zombie-like creatures.'}"
45,510,Left 4 Dead Dedicated Server,
46,513,Left 4 Dead Authoring Tools,
47,520,Team Fortress 2 Beta,
48,530,Left 4 Dead Demo,
49,540,Left 4 Dead Demo Dedicated Server,
50,550,Left 4 Dead 2,"{'ids': [2, 5], 'notes': 'Left 4 Dead 2 features intense violence, blood and gore (including decapitation or dismemberment of zombie-like creatures) and some strong language.'}"
51,560,Left 4 Dead 2 Dedicated Server,
52,563,Left 4 Dead 2 Authoring Tools,
53,564,Left 4 Dead 2 Add-on Support,
54,565,Left 4 Dead 2 Preorder DLC,
55,570,Dota 2,"{'ids': [5], 'notes': 'Dota 2 includes fantasy violence, use of alcohol, and mild partial nudity.'}"
56,575,Dota 2 - English Depot,
57,576,Dota 2 - SteelSeries DLC ,
58,581,Dota 2 - Murrissey the Smeevil,
59,582,Dota 2 - Lockjaw the Boxhound,
60,583,Dota 2 - Drodo the Druffin,
61,584,Dota 2 - Inflatable Donkey Courier,
62,585,Dota 2 - Plush Donkey Courier,
63,586,Dota 2 - International Axe,
64,590,Left 4 Dead 2 Demo,
65,620,Portal 2,"{'ids': [], 'notes': None}"
66,629,Portal 2 Authoring Tools,
67,630,Alien Swarm,"{'ids': [2, 5], 'notes': 'This game includes frequent acts of violence'}"
68,635,Alien Swarm Dedicated Server,
69,640,Alien Swarm - SDK,
70,644,Portal 2 Publishing Tool,
71,650,Portal 2 - Gamestop PS3 DLC,
72,651,Portal 2 - Bot Paint Job DLC,
73,652,Portal 2 - Bot Roll Cage DLC,
74,653,Portal 2 - Bot Antenna Topper DLC,
75,654,Portal 2 - Summer 2011 DLC,
76,659,Portal 2 - Pre-order,"{'ids': [], 'notes': None}"
77,660,Portal 2 Sixense MotionPack,"{'ids': [], 'notes': None}"
78,669,Portal 2 - Sixense Motion Preorder,
79,730,Counter-Strike 2,"{'ids': [2, 5], 'notes': 'Includes intense violence and blood.'}"
80,740,Counter-Strike Global Offensive - Dedicated Server,
81,745,Counter-Strike: Global Offensive - SDK,
